"Journal.ID","Journal.Name","Publisher","oa_count_all","total_count_all","oa_count_recent","total_count_recent","oa_proportion_all","oa_proportion_recent"
"S166722454","Education and Information Technologies","Springer",1774,5163,1668,4273,0.3436,0.3904
"S2738008561","Education Sciences","MDPI",7899,7899,7385,7385,1,1
"s110346167","British Journal of education technology","Wiley",826,4829,543,1176,0.171,0.4617
"s4210201537","International Journal of Educational Technology in Higher Education","Springer",574,575,535,535,0.9983,1
"s94618750","Teaching and Teacher Education","Elsevier (Science Direct)",1104,5375,937,2558,0.2054,0.3663
"S2596526815","Frontiers in Education","Frontiers",6336,6337,6331,6331,0.9998,1
"s187318745","Educational Psychology Review","Springer",488,1441,394,706,0.3387,0.5581
"s162196882","Studies in Higher Education","Taylor & Francis",773,3594,598,1520,0.2151,0.3934
"s114840262","Educational Technology Research and Development","Springer",512,2676,395,1080,0.1913,0.3657
"s94908168","Higher Education","Springer",1058,4919,826,1518,0.2151,0.5441
"s42886211","Thinking Skills and Creativity","Elsevier",417,1961,368,1524,0.2126,0.2415
"s130873806","System","Elsevier",487,6246,408,2064,0.078,0.1977
"s2737327475","International Journal of Instruction","Gate Association",1915,1915,1847,1847,1,1
"s5743915","Journal of Computer Assisted Learning","Wiley",760,2708,582,1202,0.2806,0.4842
"s43764696","Educational Research Review","Elsevier",244,1552,210,474,0.1572,0.443
"s135394783","The International Journal of Management Education","Elsevier",344,1407,317,1039,0.2445,0.3051
"s142259175","Assessment & Evaluation in Higher Education","Taylor & Francis",382,2397,283,805,0.1594,0.3516
"s133489141","International Journal of Inclusive Education","Taylor & Francis",379,2251,315,1210,0.1684,0.2603
"s78398831","Learning and Instruction","Elsevier",551,2303,440,1045,0.2393,0.4211
"s179605291","Language Teaching Research","SAGE",283,1797,227,1034,0.1575,0.2195
